#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,ttf-linux-libertine,"provides the sans and serif fonts for LARBS."
,ttf-jetbrains-mono,"provides the jetbrains font."
,terminus-font,"provides the terminus font for tty."
,ttf-font-awesome,"provides extended glyph support."
,ttf-dejavu,"properly displays emojis."
A,lf-git,"is an extensive terminal file manager that everyone likes."
,bc,"is used for a dropdown calculator."
,xcompmgr,"is for transparency and removing screen-tearing."
,picom,"is for transparency and removing screen-tearing."
,xorg-xprop,"is a tool for detecting window properties."
,arandr,"allows the user to customize monitor arrangements."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT drives."
,sxiv,"is a minimalist image viewer."
,acpi,"is a client for battery and power readings."
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,gnome-keyring,"serves as the system keyring."
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in LARBS."
,python-qdarkstyle,"provides a dark Qt theme."
,neovim,"a tidier vim with some useful features."
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,neofetch,"is a program for summary of system."
,powertop,"is a program for powerusgae statistics."
,newsboat,"is an rss client."
,tlp,"is a program for power management and saving."
,tlpui,"is a graphical program for power management and saving."
,zbar,"is a barcode program."
,gparted,"is a disk management tool."
,ufw,"is a firewall."
,newsboat,"is a terminal RSS client."
A,brave-bin,"is an elegant browser with built-in adblocking, tor and other features."
A,ttf-ms-fonts,"is a microsoft fnts package esp for libreoffice"
,noto-fonts-emoji,"is an emoji font."
,ntfs-3g,"allows accessing NTFS partitions."
,pipewire,"is and audio system."
,wireplumber,"is the audio system."
,pipewire-pulse,"gives pipewire compatibility with PulseAudio programs."
,pipewire-alsa,"pipewire alsa."
,pipewire-jack,"pipewire jack support."
,qpwgraph,"Qt-based Graph/Patchbay for PipeWire."
,calf,"LV2 plug-in suite and standalone Jack host."
,lsp-plugins,"Collection of free plugins compatible with LADSPA, LV2 and LinuxVST."
,easyeffects,"Audio Effects for Pipewire applications."
,pavucontrol,"graphical frontend for pulse audio."
,pulsemixer,"is an audio controller."
A,sc-im,"is an Excel-like terminal spreadsheet manager."
,maim,"can take quick screenshots at your request."
A,abook,"is an offline addressbook usable by neomutt."
,unclutter,"hides an inactive mouse."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,lynx,"is a terminal browser."
,xcape,"gives the special escape/super mappings of LARBS."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,yt-dlp,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool."
,highlight,"can highlight code output."
,xorg-xbacklight,"enables changing screen brightness levels."
,pcmanfm,"is a graphical filemanager."
,ranger,"is my terminal file manager."
,alacritty,"is my terminal."
,engrampa,"is an archiver."
,redshift,"is a color warming program for eyes."
,keepassxc,"is a graphical password manager."
,lxsession,"is for polkit authentication."
,lxappearance,"is for settings for user and root user run as root."
,firejail,"is sandboxing application."
,cbatticon,"is for battery simple c battery notification."
,ncdu,"is a storage analyzer."
,pass-otp,"is an extention to pass for otp."
A,light-git,"Program to easily change brightness."
A,zsh-fast-syntax-highlighting,"provides syntax highlighting in the shell."
A,task-spooler,"queues commands or files for download."
A,simple-mtpfs,"enables the mounting of cell phones."
A,htop-vim-git,"is a graphical and colorful system monitor."
A,auto-cpufreq,"is a power management tool used alongside tlp."
G,https://github.com/miphilip/dwmblocks.git,"serves as the modular status bar."
G,https://github.com/miphilip/dmenu.git,"runs commands and provides a UI for selection."
G,https://github.com/miphilip/dwm.git,"is the window manager."
G,https://github.com/miphilip/st.git,"custom build of suckless's terminal emulator."
A,mutt-wizard-git,"is a light-weight terminal-based email system."
,slock,"allows you to lock your computer, and quickly unlock with your password."
,moreutils,"is a collection of useful unix tools."
